id,topic,geo_level,geo,year,number
120795,Cigarette Smoking among Adults,Neighborhood (UHF 42),Jamaica,2011,10.8
120796,Cigarette Smoking among Adults,Neighborhood (UHF 42),Southeast Queens,2011,10.4
120797,Cigarette Smoking among Adults,Neighborhood (UHF 42),Rockaways,2011,15.1
120798,Cigarette Smoking among Adults,Neighborhood (UHF 42),Port Richmond,2011,25.2
120799,Cigarette Smoking among Adults,Neighborhood (UHF 42),Stapleton - St. George,2011,25.2
120800,Cigarette Smoking among Adults,Neighborhood (UHF 42),Willowbrook,2011,22.6
120801,Cigarette Smoking among Adults,Neighborhood (UHF 42),South Beach - Tottenville,2011,22.6
124524,Cigarette Smoking among Adults,Neighborhood (UHF 42),Kingsbridge - Riverdale,2012,6.4
124525,Cigarette Smoking among Adults,Neighborhood (UHF 42),Northeast Bronx,2012,16.3
124526,Cigarette Smoking among Adults,Neighborhood (UHF 42),Fordham - Bronx Pk,2012,8.4
124527,Cigarette Smoking among Adults,Neighborhood (UHF 42),Pelham - Throgs Neck,2012,22.3
124528,Cigarette Smoking among Adults,Neighborhood (UHF 42),Crotona -Tremont,2012,17.3
124529,Cigarette Smoking among Adults,Neighborhood (UHF 42),High Bridge - Morrisania,2012,17.3
124530,Cigarette Smoking among Adults,Neighborhood (UHF 42),Hunts Point - Mott Haven,2012,17.3
124531,Cigarette Smoking among Adults,Neighborhood (UHF 42),Greenpoint,2012,17.3
124532,Cigarette Smoking among Adults,Neighborhood (UHF 42),Downtown - Heights - Slope,2012,16.9
124533,Cigarette Smoking among Adults,Neighborhood (UHF 42),Bedford Stuyvesant - Crown Heights,2012,16.8
124534,Cigarette Smoking among Adults,Neighborhood (UHF 42),East New York,2012,16.7
124535,Cigarette Smoking among Adults,Neighborhood (UHF 42),Sunset Park,2012,12
124536,Cigarette Smoking among Adults,Neighborhood (UHF 42),Borough Park,2012,12.4
124537,Cigarette Smoking among Adults,Neighborhood (UHF 42),East Flatbush - Flatbush,2012,12.1
124538,Cigarette Smoking among Adults,Neighborhood (UHF 42),Canarsie - Flatlands,2012,14.8
124539,Cigarette Smoking among Adults,Neighborhood (UHF 42),Bensonhurst - Bay Ridge,2012,16.7
124540,Cigarette Smoking among Adults,Neighborhood (UHF 42),Coney Island - Sheepshead Bay,2012,21.4
124541,Cigarette Smoking among Adults,Neighborhood (UHF 42),Williamsburg - Bushwick,2012,18.2
124542,Cigarette Smoking among Adults,Neighborhood (UHF 42),Washington Heights,2012,13
124543,Cigarette Smoking among Adults,Neighborhood (UHF 42),Central Harlem - Morningside Heights,2012,16.1
124544,Cigarette Smoking among Adults,Neighborhood (UHF 42),East Harlem,2012,18.6
124545,Cigarette Smoking among Adults,Neighborhood (UHF 42),Upper West Side,2012,12.6
124546,Cigarette Smoking among Adults,Neighborhood (UHF 42),Upper East Side,2012,12.8
124548,Cigarette Smoking among Adults,Neighborhood (UHF 42),Chelsea - Clinton,2012,18.4
124547,Cigarette Smoking among Adults,Neighborhood (UHF 42),Gramercy Park - Murray Hill,2012,12.8
124549,Cigarette Smoking among Adults,Neighborhood (UHF 42),Greenwich Village - SoHo,2012,18.4
124550,Cigarette Smoking among Adults,Neighborhood (UHF 42),Union Square - Lower East Side,2012,22.8
124551,Cigarette Smoking among Adults,Neighborhood (UHF 42),Lower Manhattan,2012,22.8
124552,Cigarette Smoking among Adults,Neighborhood (UHF 42),Long Island City - Astoria,2012,16
124553,Cigarette Smoking among Adults,Neighborhood (UHF 42),West Queens,2012,15.9
124554,Cigarette Smoking among Adults,Neighborhood (UHF 42),Flushing - Clearview,2012,16.3
124555,Cigarette Smoking among Adults,Neighborhood (UHF 42),Bayside - Little Neck,2012,13.2
124557,Cigarette Smoking among Adults,Neighborhood (UHF 42),Ridgewood - Forest Hills,2012,17.3
124556,Cigarette Smoking among Adults,Neighborhood (UHF 42),Fresh Meadows,2012,13.2
124558,Cigarette Smoking among Adults,Neighborhood (UHF 42),Southwest Queens,2012,11.9
124559,Cigarette Smoking among Adults,Neighborhood (UHF 42),Jamaica,2012,13.8
124560,Cigarette Smoking among Adults,Neighborhood (UHF 42),Southeast Queens,2012,9
124561,Cigarette Smoking among Adults,Neighborhood (UHF 42),Rockaways,2012,18.6
